id,file_name,class
1,0001.jpg,0
2,0002.jpg,0
3,0003.jpg,0
4,0004.jpg,0
5,0005.jpg,0
6,0006.jpg,0
7,0007.jpg,0
8,0008.jpg,0
9,0009.jpg,0
10,0010.jpg,0
11,0011.jpg,0
12,0012.jpg,0
13,0013.jpg,0
14,0014.jpg,0
15,0015.jpg,0
16,0016.jpg,0
17,0017.jpg,0
18,0018.jpg,0
19,0019.jpg,0
20,0020.jpg,0
21,0021.jpg,0
22,0022.jpg,0
23,0023.jpg,0
24,0024.jpg,0
25,0025.jpg,0
26,0026.jpg,0
27,0027.jpg,0
28,0028.jpg,0
29,0029.jpg,0
30,0030.jpg,0
31,0031.jpg,0
32,0032.jpg,0
33,0033.jpg,0
34,0034.jpg,0
35,0035.jpg,0
36,0036.jpg,0
37,0037.jpg,0
38,0038.jpg,0
39,0039.jpg,0
40,0040.jpg,0
41,0041.jpg,0
42,0042.jpg,0
43,0043.jpg,0
44,0044.jpg,0
45,0045.jpg,0
46,0046.jpg,0
47,0047.jpg,0
48,0048.jpg,0
49,0049.jpg,0
50,0050.jpg,0
51,0051.jpg,0
52,0052.jpg,0
53,0053.jpg,0
54,0054.jpg,0
55,0055.jpg,0
56,0056.jpg,0
57,0057.jpg,0
58,0058.jpg,0
59,0059.jpg,0
60,0060.jpg,0
61,0061.jpg,0
62,0062.jpg,0
63,0063.jpg,0
64,0064.jpg,0
65,0065.jpg,0
66,0066.jpg,0
67,0067.jpg,0
68,0068.jpg,0
69,0069.jpg,0
70,0070.jpg,0
71,0071.jpg,0
72,0072.jpg,0
73,0073.jpg,0
74,0074.jpg,0
75,0075.jpg,0
76,0076.jpg,0
77,0077.jpg,0
78,0078.jpg,0
79,0079.jpg,0
80,0080.jpg,0
81,0081.jpg,0
82,0082.jpg,0
83,0083.jpg,0
84,0084.jpg,0
85,0085.jpg,0
86,0086.jpg,0
87,0087.jpg,0
88,0088.jpg,0
89,0089.jpg,0
90,0090.jpg,0
91,0091.jpg,0
92,0092.jpg,0
93,0093.jpg,0
94,0094.jpg,0
95,0095.jpg,0
96,0096.jpg,0
97,0097.jpg,0
98,0098.jpg,0
99,0099.jpg,0
100,0100.jpg,0
101,0101.jpg,0
102,0102.jpg,0
103,0103.jpg,0
104,0104.jpg,0
105,0105.jpg,0
106,0106.jpg,0
107,0107.jpg,0
108,0108.jpg,0
109,0109.jpg,0
110,0110.jpg,0
111,0111.jpg,0
112,0112.jpg,0
113,0113.jpg,0
114,0114.jpg,0
115,0115.jpg,0
116,0116.jpg,0
117,0117.jpg,0
118,0118.jpg,0
119,0119.jpg,0
120,0120.jpg,0
121,0121.jpg,0
122,0122.jpg,0
123,0123.jpg,0
